Project Name,Java File,Line No.,Abbreviation2BeTested,EnclosingIdentifier,Contexts,Type of Identifiers,Full Terms,URL,Necessity4Expansion(manual Label),Necessity4Expansion(Prediction),Java Command 2 Test This Item
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\archive\jsmooth-0.9.9-7-patch\src\net\charabia\util\codec\IcoCodec.java,228,dir,dir,icon#dir,variableName,directory,https://github.com/mguessan/davmail/blob/master/archive/jsmooth-0.9.9-7-patch/src/net/charabia/util/codec/IcoCodec.java#L228,0,0,java FindCasualNames.main.smartExpander dir dir icon#dir variableName directory davmail
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\compiler\JavacCompiler.java,177,iae,iae,catch#illegal#access#exception,variableName,illegal access exception,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/compiler/JavacCompiler.java#L177,0,0,java FindCasualNames.main.smartExpander iae iae catch#illegal#access#exception variableName illegal access exception drjava
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\BeanShell.java,65,bsh,bsh,bean#shell#facade,variableName,bean shell,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/BeanShell.java#L65,0,0,java FindCasualNames.main.smartExpander bsh bsh bean#shell#facade variableName bean shell jedit
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\de\masters_of_disaster\ant\tasks\ar\ArOutputStream.java,26,curr,currBytes,int#bytes,variableName,current,https://github.com/romuloceccon/jedit/blob/master/de/masters_of_disaster/ant/tasks/ar/ArOutputStream.java#L26,0,0,java FindCasualNames.main.smartExpander curr currBytes int#bytes variableName current jedit
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\util\gui\dialog\ListConfirmDialog.java,123,bts,okCancelBts,button#ok#cancel#util#swap,variableName,button,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/util/gui/dialog/ListConfirmDialog.java#L123,0,0,java FindCasualNames.main.smartExpander bts okCancelBts button#ok#cancel#util#swap variableName button docfetcher
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\index\file\FileFactoryTest.java,77,abs,absPath,string#path#util,variableName,absolute,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/index/file/FileFactoryTest.java#L77,0,0,java FindCasualNames.main.smartExpander abs absPath string#path#util variableName absolute docfetcher
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\imap\ImapConnection.java,1838,b,b,int#write#io#exception,parameterName,body,https://github.com/mguessan/davmail/blob/master/src/java/davmail/imap/ImapConnection.java#L1838,1,1,java FindCasualNames.main.smartExpander b b int#write#io#exception parameterName body davmail
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-filter\dubbo-filter-cache\src\main\java\org\apache\dubbo\cache\support\expiring\ExpiringMap.java,139,obj,obj,object#equals,parameterName,object,https://github.com/apache/dubbo/blob/master/dubbo-filter/dubbo-filter-cache/src/main/java/org/apache/dubbo/cache/support/expiring/ExpiringMap.java#L139,0,0,java FindCasualNames.main.smartExpander obj obj object#equals parameterName object dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\compiler\support\ClassUtils.java,182,v,v,long#boxed#value#of,parameterName,value,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/compiler/support/ClassUtils.java#L182,0,0,java FindCasualNames.main.smartExpander v v long#boxed#value#of parameterName value dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-config\dubbo-config-api\src\main\java\org\apache\dubbo\config\bootstrap\DubboBootstrap.java,1379,ssl,ssl,ssl#config#manager,variableName,secure socket layer,https://github.com/apache/dubbo/blob/master/dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/bootstrap/DubboBootstrap.java#L1379,1,1,java FindCasualNames.main.smartExpander ssl ssl ssl#config#manager variableName secure socket layer dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\URL.java,1966,n,n,number#get#cache#number#method#key,variableName,number,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/URL.java#L1966,0,0,java FindCasualNames.main.smartExpander n n number#get#cache#number#method#key variableName number dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractGlobalModel.java,4258,prev,prev,open#definitions#document#navigator#previous,variableName,previous,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractGlobalModel.java#L4258,0,0,java FindCasualNames.main.smartExpander prev prev open#definitions#document#navigator#previous variableName previous drjava
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\java\davmail\AbstractConnection.java,114,os,os,output#stream,variableName,output stream,https://github.com/mguessan/davmail/blob/master/src/java/davmail/AbstractConnection.java#L114,0,0,java FindCasualNames.main.smartExpander os os output#stream variableName output stream davmail
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\index\file\TestUnpackFromZip.java,90,fh,file header,file#header#next#archive,variableName,file header,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/index/file/TestUnpackFromZip.java#L90,0,0,java FindCasualNames.main.smartExpander fh file header file#header#next#archive variableName file header docfetcher
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\installer\CBZip2InputStream.java,703,len,minLen,int#min,parameterName,length,https://github.com/romuloceccon/jedit/blob/master/installer/CBZip2InputStream.java#L703,0,0,java FindCasualNames.main.smartExpander len minLen int#min parameterName length jedit
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\classpath\ClassManagerImpl.java,311,cp,cp,url#set#class#path,parameterName,class path,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/classpath/ClassManagerImpl.java#L311,0,0,java FindCasualNames.main.smartExpander cp cp url#set#class#path parameterName class path jedit
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\cache\DDReconstructor.java,58,dl,dl,document#listener#add,parameterName,document listener,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/cache/DDReconstructor.java#L58,0,0,java FindCasualNames.main.smartExpander dl dl document#listener#add parameterName document listener drjava
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\io\Bytes.java,425,str,str,string#hex#bytes,parameterName,string,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/io/Bytes.java#L425,0,0,java FindCasualNames.main.smartExpander str str string#hex#bytes parameterName string dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\test\java\org\apache\dubbo\common\utils\StackTest.java,31,ops,testOps,test#ops#exception,methodName,options,https://github.com/apache/dubbo/blob/master/dubbo-common/src/test/java/org/apache/dubbo/common/utils/StackTest.java#L31,1,1,java FindCasualNames.main.smartExpander ops testOps test#ops#exception methodName options dubbo
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\io\Bytes.java,437,hex,hex2bytes,string#off#len#byte,methodName,hexadecimal,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/io/Bytes.java#L437,0,1,java FindCasualNames.main.smartExpander hex hex2bytes string#off#len#byte methodName hexadecimal dubbo
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\DrJava.java,603,pb,pb,process#builder#get#absolute#path,variableName,process builder,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/DrJava.java#L603,0,0,java FindCasualNames.main.smartExpander pb pb process#builder#get#absolute#path variableName process builder drjava
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\test\davmail\exchange\TestExchangeSessionCalendar.java,136,cal,cal,calendar#get#instance,variableName,calendar,https://github.com/mguessan/davmail/blob/master/src/test/davmail/exchange/TestExchangeSessionCalendar.java#L136,0,0,java FindCasualNames.main.smartExpander cal cal calendar#get#instance variableName calendar davmail
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\parse\ParseServiceTest.java,73,odt,odtFile,file#test#files,variableName,online difital terms,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/parse/ParseServiceTest.java#L73,1,1,java FindCasualNames.main.smartExpander odt odtFile file#test#files variableName online difital terms docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\json\Yylex.java,465,c,c,int#reader,variableName,character,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/json/Yylex.java#L465,1,1,java FindCasualNames.main.smartExpander c c int#reader variableName character dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\parse\RtfParser.java,28,rtf,RtfParser,parser#stream,className,rich text file,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/parse/RtfParser.java#L28,1,1,java FindCasualNames.main.smartExpander rtf RtfParser parser#stream className rich text file docfetcher
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\filter\FilesizeTest.java,32,l,l2,long#assert#equals,parameterName,long,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/filter/FilesizeTest.java#L32,0,0,java FindCasualNames.main.smartExpander l l2 long#assert#equals parameterName long docfetcher
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\model\UtilModel.java,124,dst,dstPath,string#path,parameterName,destination,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/model/UtilModel.java#L124,1,1,java FindCasualNames.main.smartExpander dst dstPath string#path parameterName destination docfetcher
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-cluster\src\main\java\org\apache\dubbo\rpc\cluster\support\MergeableClusterInvoker.java,101,r,r,result#async#result#get,variableName,result,https://github.com/apache/dubbo/blob/master/dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/support/MergeableClusterInvoker.java#L101,0,0,java FindCasualNames.main.smartExpander r r result#async#result#get variableName result dubbo
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\UtilGui.java,135,alt,alt,boolean#state#mask,variableName,alternate,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/UtilGui.java#L135,1,1,java FindCasualNames.main.smartExpander alt alt boolean#state#mask variableName alternate docfetcher
davmail,D:\FSE2021\dataSet\davmail-master\davmail-master\src\test\davmail\caldav\TestCaldavRecurringEvent.java,53,cal,cal,get#zulu#formatted#date#time,parameterName,calendar,https://github.com/mguessan/davmail/blob/master/src/test/davmail/caldav/TestCaldavRecurringEvent.java#L53,0,1,java FindCasualNames.main.smartExpander cal cal get#zulu#formatted#date#time parameterName calendar davmail
drjava,D:\FSE2021\dataSet\drjava-master\drjava-master\drjava\src\edu\rice\cs\drjava\model\AbstractDJDocument.java,562,prev,findPrevEnclosingBrace,pos#opening#closing,methodName,previous,https://github.com/DrJavaAtRice/drjava/blob/master/drjava/src/edu/rice/cs/drjava/model/AbstractDJDocument.java#L562,0,0,java FindCasualNames.main.smartExpander prev findPrevEnclosingBrace pos#opening#closing methodName previous drjava
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\indexing\PatternTable.java,233,sel,sel,pattern#action#table#viewer#get#selection,variableName,selection,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/indexing/PatternTable.java#L233,0,0,java FindCasualNames.main.smartExpander sel sel pattern#action#table#viewer#get#selection variableName selection docfetcher
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\classpath\BshClassPath.java,629,wr,wr,weak#reference#next#element,variableName,weak reference,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/classpath/BshClassPath.java#L629,0,0,java FindCasualNames.main.smartExpander wr wr weak#reference#next#element variableName weak reference jedit
docfetcher,D:\FSE2021\dataSet\docfetcher-master\docfetcher-master\src\net\sourceforge\docfetcher\gui\indexing\ConfigPanel.java,118,bt,resetBt,button#reset#util#create#push,variableName,button,https://github.com/vivainio/docfetcher/blob/master/src/net/sourceforge/docfetcher/gui/indexing/ConfigPanel.java#L118,0,0,java FindCasualNames.main.smartExpander bt resetBt button#reset#util#create#push variableName button docfetcher
jedit,D:\FSE2021\dataSet\jedit-master\jedit-master\org\gjt\sp\jedit\bsh\BshClassManager.java,369,cl,externalCL,class#loader#set#external,parameterName,class loader,https://github.com/romuloceccon/jedit/blob/master/org/gjt/sp/jedit/bsh/BshClassManager.java#L369,0,0,java FindCasualNames.main.smartExpander cl externalCL class#loader#set#external parameterName class loader jedit
dubbo,D:\FSE2021\dataSet\dubbo-master\dubbo-master\dubbo-common\src\main\java\org\apache\dubbo\common\URL.java,1918,f,f,float#parse#value,variableName,float,https://github.com/apache/dubbo/blob/master/dubbo-common/src/main/java/org/apache/dubbo/common/URL.java#L1918,0,0,java FindCasualNames.main.smartExpander f f float#parse#value variableName float dubbo
